designation	annee	kilometrage	prix
Alfa Romeo 147 1.9 JTD	2006	86500	9990
Alfa Romeo 147 TI 150CV serie SPECIAL sport	2006	67000	13400
ALFA 147 DUCATI 170cv - Sous garantie	2009	25000	25000
Alfa 147	2001	89000	6000
Alfa Romeo 147 2.0 L Selespeed Twin Spark 3 portes	2001	148000	5600
Alfa Romeo 147 1.9JTD 16v 140cv	2004	95000	9900
Alfa Romeo GT 1.9 JTD 150 Cuir GPS Distinctive	2005	85000	12990
ALFA ROMEO GT coupe 150 CV DIESEL	2007	41095	15780
Alfa romeo 166 jtd 2.4 stronic 175 cv selective	2003	140000	9500
ALFA ROMEO 156 1.9 jtd SPORTWAGON 115cv	2001	39000	3300
Alfa romeo 156 1.9 jtd	2001	192000	4500
Alfa romeo 156 sw 1.9 jtd 115 cv an. 2004	2004	99300	9000
Alfa romeo 156 sw 1.9 jtd 115 cv an. 2004	2004	99300	9000
Alfa romeo 156 sw 1.9 jtd 115 cv an. 2004	2004	99300	9000
Alfa romeo 159 1.9 jtdm 150 cv distinctive	2006	53500	13700
Alfa romeo 159 1.9 jtdm 150 cv distinctive	2006	53500	13700
Alfa 156	2004	117000	9800
Alfa 156	2004	117000	9800
Alfa romeo 156 jtd	2003	84000	9000
Alfa 156	2000	164000	4000
ALFA ROMEO 166 2.0 TS 155 CV / Twin Spark	1998	120850	4800
Alfa Romeo GT Q2 2008	2008	37700	20200
Alfa Romeo GT Q2 2008	2008	44000	17900
Superbe Alpha Romeo GT 1.9L JTD 150 CV	2008	15000	18000
Audi a3 sportback 1.9 l tdi 105 cv ambition faceli	2008	26500	21900
Audi A3 Sportback 2.0 TDI 170 ch Quattro S Line	2006	124000	16800
Audi a3 sportback 2.0 tdi 140 cv 2005	2005	94500	13500
Audi A3 2L TDI 170CV S-Line	2007	46000	22750
Audi a 3 1.9 tdi	2002	169000	6000
AUDI A3 SPORTBACK 1&virgule	1995	2006	5000
AUDI A3 S-Line 2.0 TDI 140Ch	2006	63000	19000
Audi a3 2.0 tdi	2004	112700	12800
Audi A3 Sportback 2.0 TDI (140cv ) Ambition	2006	87000	14500
AUDI A3 Sportback ambition luxe	2005	112882	14850
Audi A3 Sportback 2.0 TDI (140cv ) Ambition	2006	87000	14500
AUDI A3 Sportback ambition luxe	2005	112882	14850
Audi A3 SPORBACK 1.9 tdi 105 S LINE	2006	88500	21000
Audi A3 2.0tdi 140cv noire metal	2004	132000	11900
Audi A3 SPORBACK 1.9 tdi 105 S LINE	2006	88500	21000
Audi A3 SPORBACK 1.9 tdi 105 S LINE	2006	88500	21000
Audi A3 AMBITION 2009	2009	23000	22600
Audi a3 sportback	2008	25000	20000
Audi A3 AMBITION 2009	2009	23000	22600
Audi a3 sportback	2008	25000	20000
Audi A3 sporback	2007	78000	17200
Audi A3 sporback	2007	78000	17200
Audi A3 ambition 1.9 tdi	2007	51000	16350
Audi a3 2.0 tdi 170ch s-line prix negociable	2007	91000	17800
Audi a3 tdi 130 cv	2001	203000	6850
Audi A3 Sportback 1.9 Tdi Noire modele Ambition	2006	62000	14900
Audi A3 Sportback 1.9 Tdi Noire modele Ambition	2006	62000	14900
Audi a3 tdi dpf 11/2006 - ETAT NEUF	2006	77000	15900
Audi a3 tdi 1.9 ambition 130 cv	2003	153000	9400
Audi a3 1.9 tdi 130cv ambiante	2003	128000	9900
A3 1.9l tdi 130 cv ambiente bv6	2002	109000	10000
Audi A3 sportback 1.9 TDI 105 cv ambition	2005	72000	14200
Audi A3 sportback 1.9 TDI 105 cv ambition	2005	72000	14200
AUDI A3 1.9 tdi	1997	216000	6000
AUDI A3 sportback 1.9 l 105 ambiente bv5	2008	46500	19500
Audi A3 sportback 1.9 TDI 105 cv ambition	2005	72000	14200
AUDI A3 1.9 tdi	1997	216000	6000
AUDI A3 sportback 1.9 l 105 ambiente bv5	2008	46500	19500
Audi A3 sportback 2.0 TDI 140cv DSG GPS	2005	85000	16500
Audi a3 sportback ambition 2.0 tdi 140 cv	2008	21000	22900
A3 2.0 dsg s-tronic tdi ambition luxe	2006	56000	21200
A3 2.0 TDI 140cv S-Line &virgule	2005	26000	25000
Audi A3 Cabriolet 2.0 TDI Ambition 140cv Ref:O13	2009	11450	26090
Audi A3 S-Line 2.0 TDI 170&virgule	2009	58200	21990
Audi A3 Ambition Luxe 2.0 TDI 140cv Ref:O10	2008	30500	24190
AUDI A3 - TDI 2.0 AMBITION 140CV. Decembre 2003	2003	87000	13500
AUDI A3 - TDI 2.0 AMBITION 140CV. Decembre 2003	2003	87000	13500
Audi A3 Cabriolet 1.9 TDI DPF / Cuir et G.P.S	2009	11300	28500
AUDI A3 1.9 TDI 105 cv excellent etat	2007	33000	19000
Audi a3 2.0 tdi ambition	2004	120000	11500
a Saisir Audi A3 TDI 140 Ambition Luxe	2006	78000	15800
AUDI A3 SPORTBACK 2.0 TDI 140 CV - 49 000 kms	2006	49000	17900
Audi A3 Ambition 2.0l tdi 140cv 6 Vitesses	2005	45000	19000
Audi A3 sportback	2007	34000	17500
Audi A3 S-LINE 2.0 TDI	2009	23800	27600
Audi a3 2.0 tdi 140 ch pack ambition	2004	145000	10500
Audi a3 tdi 2.0 ambition 140	2007	52000	17300
Audi A3 SPORTBACK 2&virgule	2008	135000	21960
Audi a3 1.9tdi 14.500km 3 portes noir brillant	2008	14500	22000
Audi a3 1.9 tdi ambiente	1999	246000	5400
A3 ambition facelift 2.0tdi 140cv jtes exc 03/2009	2009	9620	23970
Audi a3 2.0l tdi sportback s-line 2008 5800kms	2008	5800	24990
Audi A3 sportback 1.9l tdi	2006	75000	16500
Audi a3 facelift 1.9 tdi ambition dpf 105 ch	2008	33200	19200
Audi A3 TDI 140 CV	2006	140000	12000
Audi a3 sporback	2006	63000	16100
Audi A3 2.0L tdi ambition	2003	193000	9500
Belle AUDI A3 1&virgule	1998	216000	5500
AUDI A3 1.9TDI 130 S-LINE AN 02 NOIR CUIR 8500e	2002	171000	8500
Audi a3 1.9 l tdi 110 cv	1998	230000	4000
Audi A3 Sportback 1.9 TDI s-line Ref:B25	2009	29900	23390
AUDI A3 SPORTBACK 2.0L 170cv S-LINE	2007	60000	20000
Audi A3 S-line 2.0L 140 ch 2008	2008	47000	19990
Audi A3 Sportback 2.0 TDI Ref:43	2008	33500	21200
Audi A3 s line	2008	22500	23500
Audi a3 sport back s line 2009 2.0 l tdi 140 ch	2009	18000	24990
Audi a4 avant 2.0 tdi 140 ch ambiente bv6	2006	68900	17990
AUDI A4 1&virgule	2001	94500	9900
Audi A4 2&virgule	2008	29500	24990
Audi A4 1&virgule	2003	135000	10500
Audi A4 2.5 TDI quattro 150 cv	1999	150000	8900
Audi A4 1.9 TDI accidente	1996	190000	1000
Audi A4 1.9TDI PACK LUXE 115 CV	2000	168000	9000
Audi a4 new ambition 2.0 tdi fap	2009	24000	26300
Audi a4 1.9 tdi 100 cv toute options etat neuf	2002	168000	7700
Audi a4 1.9 tdi 100 cv toute options etat neuf	2002	168000	7700
Audi a4 avant 1.9 tdi 130cv noir	2004	93000	12500
Audi a4 tdi 2.5 Multitronic	2003	150000	12200
Audi a4 avant 1.9 tdi 130cv noir	2004	93000	12500
Audi a4 tdi 2.5 Multitronic	2003	150000	12200
A4 sport 2.0 tdi 143 cv	2008	57000	25900
Audi a4 1.9 tdi ambiente	2006	82500	14900
A4 sport 2.0 tdi 143 cv	2008	57000	25900
Audi A4 TDi 115cv 2001 8000	2001	129900	8000
Audi A4 TDi 115cv 2001 8000	2001	129900	8000
Audi A4 break	2000	113000	9500
Audi A4 - 1.9TDI - 130CV	2002	193000	8000
Audi A4 break	2000	113000	9500
Audi A4 - 1.9TDI - 130CV	2002	193000	8000
Audi A4 2.0 TDI 143 CV Ambition luxe BV6	2008	39700	27990
Audi A4 2.0 TDI 143 CV Ambition luxe BV6	2008	39700	27990
A saisir audi a4 tdi 130 pack - faible kilometrage	2004	93000	12400
A saisir audi a4 tdi 130 pack - faible kilometrage	2004	93000	12400
Audi a4 breack tdi 130 pack plus contre touran	2002	147500	11500
Audi a4 bk v6 2.5 tdi 163cv multitronic quatro	2002	126000	7900
Audi a4 bk v6 2.5 tdi 163cv multitronic quatro	2002	126000	7900
Audi a4 avant 2.0 tdi 140 cv noire	2007	55000	20000
Tres belle audi a4 tdi 130	2002	170000	7800
Audi A4 breack quattro	2002	95000	12300
Echange audi a4/s4	1997	230000	4300
Audi A4 s-line serie limitee	2003	227500	9990
Audi a 4 1.9tdi 130ch	2002	204000	7200
Audi A4 Break&virgule	2004	162000	9900
Audi a 4 2&virgule	2003	142000	12900
A4 ambition luxe multitronic 100mkms ct vierge	2005	100000	16500
A4 2.0l TDI 140cv AMBITION LUXE MULTITRONIC 98000K	2005	100000	16500
Av A4 ambiente 2.5 tdi 163 multitronic	2005	47910	18500
AUDi A4 1.9 TDi 110chv RS4	1998	260000	3500
Audi a4 1.9 tdi 90cv	1995	290000	3000
A4 avant 2.0 tdi 140 cv s/line clim auto+j.alu 17	2006	54618	19150
A4 avant s/line 2.0tdi 143cv navi+xenon+l 04/2009	2009	27107	32970
A4 cabriolet s/line 2.0tdi 140cv xenon+cuir+bose+p	2006	40935	23970
A4 ambiente 2.0 tdi 143 cv navi+xenon+leds 09/2008	2008	26975	26450
Audi a4 break sline pack int + ext 2.0 tdi 2008	2008	74000	21000
Audi a4 avant 1.9 tdi 130 cv pack plus	2004	106000	14000
Audi a4 break tdi	2002	122000	14300
Audi a4 130cv model 2002	2001	157000	7500
Audi A4 1.9 TDI	2002	107200	9900
AUDI a4 2.5tdi v6	1998	183500	4700
AUDI A4 Avant 2.5 TDI 163cv	2004	188000	9500
Audi a4 avant 2.0 tdi ambition luxe	2005	91000	16700
Audi a4 s line 2.0 140cv multitronic	2007	99500	19900
Audi a4 tdi 130	2002	131000	9500
Audi A4 1.9L TDI 130 CV	2001	138000	9900
Audi A4 avant break 1.9TDI 130ch pack plus	2002	154991	10599
AUDI A5 Cabriolet S-LINE 2.0 TSI 211 Quattro	2009	9000	46900
AUDI A5 Cabriolet S-LINE 2.0 TSI 211 Quattro	2009	9000	46900
AUDI A5 Cabriolet S-LINE 2.0 TSI 211 Quattro	2009	9000	46900
AUDI A6 TDI AVANT BREAK AMBIENTE GPS + Regulateur	2006	67500	22000
Audi a6 2.0 tdi	2006	174000	14900
Audi a6 en suberbe etat	2004	106000	13000
Audi A6 2.5 TDI 150 CV&virgule	2001	121000	10990
Audi a6 en suberbe etat	2004	106000	13000
Audi A6 2.5 TDI 150 CV&virgule	2001	121000	10990
AUDI A6 avant 2.0 TDI Ambition Luxe 2006	2006	112000	19000
AUDI A6 avant 2.0 TDI Ambition Luxe 2006	2006	112000	19000
AUDI A6 QUATTRO 4X4 TDI ==echange==	2002	122300	12850
Audi A6 break 2.5L TDI 150cv	1998	153000	7800
Audi A6 break 2.5L TDI 150cv	1998	153000	7800
AUDI A6 ALLROAD 2&virgule	2002	174000	12900
AUDI A6 ALLROAD 2&virgule	2002	174000	12900
Audi A6 2.5 tdi mellesime 1997 toute options	1996	234000	4000
Audi a6	1997	380000	3000
Audi A6 break 2.5 tdi quattro pack luxe	2000	320000	7500
Audi a8 v6tdi 2.5l 150cv 9800euro	1998	236000	9800
AUDI Q5 2.0 TDI 170 Cv CUIR 2009 NOIR	2009	28200	39200
AUDI Q5 2.0 TDI 170cv XENON CUIR - GPS	2008	7000	42400
Audi S3 2&virgule	2008	24260	33000
118 D confort 143CV 24000km du 12/2008 GPS16/9	2008	24000	19000
BMW 118 Diesel 122 ch Confort BV6. 5 portes	2006	76500	16900
BMW 118 Diesel 122 ch Confort BV6. 5 portes	2006	76500	16900
BMW 118D Confort BVA6 / 5P / 12.06.09 / 13000km	2009	13000	22900
Bmw 120d	2009	15600	27500
Bmw 320d e46	2001	97000	8000
Chevrolet Captiva LT Pack 150cv faible kilomatrage	2007	28000	21400
Chrysler PT Cruiser 2.2 CRD Route 66	2006	83000	12600
Pt cruiser touring 2.2 crd	2003	81000	8500
Chrysler - Pt Cruiser touring CRD	2002	165200	8700
Chrysler - Pt Cruiser touring CRD	2002	165200	8700
CHRYSLER PT CRUISER 2.2 CRD OLYMPIA 150ch	2006	73660	10900
Pt Cruiser 2.2 CRD Touring Noir 07/2004 100000kms	2004	100000	8400
Citroen c4 2.0hdi 138cv exclusive&virgule	2007	99900	10490
Citroen c4 picasso hdi 138 cv collection + gps	2009	8000	23490
Citroen c4 picasso hdi 138 cv collection + gps	2009	8000	23490
C4 VTS HDI 2.0 litre 138 chx 2005	2005	65000	13200
C4 VTS HDI 2.0 litre 138 chx 2005	2005	65000	13200
Grand c4 piccasso eclisive pack plus	2008	71000	21000
Citroen c5 2.2hdi 136ch	2003	196000	3500
A Saisir C5 2.2HDi 136CV 1ere main	2002	105000	7000
Tres belle citroen c5 exclusive 2.2 hdi 138	2001	159000	6300
Citroen C5 hdi exclusive cuir 108000km luxauto	2005	108000	8900
Citroen C5 Berline 2.0 L HDi 140 CV	2010	200000	23700
Citroen c5 ii 2.0 hdi 138 fap exclusive	2008	23000	20490
Citroen C6 2.2 HDi Exclusive	2007	22000	21900
Citroen C6 2.2 HDi Exclusive	2007	22000	21900
C8 2.0 hdi 110cv 09/2004 gps 67000kms 6 sieges	2005	67000	11200
C8 2.0 hdi 110cv 09/2004 gps 67000kms 6 sieges	2005	67000	11200
C8 Citroen HDI 138CV Exclusive 7 places	2009	14500	27500
CITROEN C8 2.2 hdi 130 CH pack fap noir	2004	149000	10500
CITROEN C8 2.0L 143cv an2006-29700km COMME NEUF	2006	29700	21000
TRES URGENT c8 2.0 pack 16v 110cv 7places merci	2003	90000	10200
C8 2.2 130 ch HDI PACK FAP	2004	149000	11500
C8 2.0 16v hdi exclusive revise garantie 1 an	2006	117030	13600
CITROEN XM.2.5L.TD.136cv.EXCLUSIVE. magnifique	1999	176000	5000
Xsara Picasso 2.0HDi pack	1993	155500	3950
CITROEN Xsara 2.0 VTS 137 ch	2001	115000	4000
Citroen Xsara 2 exclusive 2.0 HDI 90cv an2002 CTOK	2002	130000	3990
Belle citroen xsara 2.0 hdi 90ch exclusive	2001	203120	3790
Picasso 2.0 hdi 90cv	2000	207000	3700
Xsara exclusive 2.0 hdi 110cv bva affaire	2003	128000	4490
Citroen xsara picasso 2.0 hdi 90 ch exclusive gtie	2003	153000	5990
Citroen xsara picasso 2.0 hdi	2003	141133	6990
Citroen xsara break 2.0 hdi 90cv sx	2001	147000	3990
Citroen zxara	2000	155000	4000
Citroen zxara	2000	155000	4000
CITROEN XSARA II 2.0 HDI 90 cv	2001	240000	3000
Citroen zxara	2000	155000	4000
Citroen XSARA 2.0 HDI 90CH 5 portes	2003	167000	4700
Voiture xsara citroen 110 cv	2001	137000	5900
Citroen xsara 2.0 HDI	2003	92000	7500
Citroen xsara 2.0 HDI	2003	92000	7500
A SAISIR XSARA VTS 2.0 167 Cv - Cuir - Clim	2000	164000	3900
A SAISIR XSARA VTS 2.0 167 Cv - Cuir - Clim	2000	164000	3900
Xsara picasso hdi	2000	192000	4000
Citroen picasso 2.0l hdi 90 cv	2002	143000	5500
Citroen picasso 2.0 hdi 90 cv a-r-o	2002	145000	5990
Citroen xsara break 2.0hdi 90 an 2000 245000km tbe	2000	245000	2800
Citroen xsara 1.9d 70cv	2002	155000	2500
Citroen xsara picasso pack clim. 2.0l hdi rouge 90	2001	149200	6200
Citroen Picasso Diesel	2005	66000	9300
CITROEN XSARA Exclusive 2.0L HDI 110Cv	2001	131000	4900
Citroen XSARA 2002 2.0 HDI EXCLUSIVE	2002	140000	5500
Picasso 2.0 hdi pack clim revise garantie 3 mois	2003	164652	6900
Bravo 2.0 MTJ 165ch Sport	2009	6500	21300
Bravo 2.0 MTJ 165ch Sport	2009	6500	21300
Fiat Bravo II 1.9 M-Jet 150 Cv EMOTION	2008	29300	12300
Fiat bravo dynamique jtd	2007	34800	12300
Fiat Croma 1.9 Mjet 120 CV Dynamic - 40750 km	2007	40750	13190
FIAT DOBLO 1.9 JTD 105cv	2004	95000	5700
Fiat marea week end	1997	217000	2000
Fiat grande punto sport 130ch	2006	47500	12500
Fiat grande punto sport 130ch	2006	47500	12500
Fiat grande punto 1.9 mjt 130cv sport	2007	52000	10000
FIAT GRANDEPUNTO 1.9 JTDiesel 120 CV EMOTION	2006	65000	7200
Fiat grande punto 1&virgule	2006	46000	10500
Fiat punto II 1.9L JTD EL clim 80cv	2002	113000	4700
FIAT 4x4 SEDICI 1.9 JTD120 EMOTION 5p	2007	34000	13607
SMART Roadster Coupe Glance Grey	2003	120000	4500
SMART Roadster Coupe Glance Grey	2003	120000	4500
Fiat stilo schumacher	2005	103000	11000
Fiat stilo 1.9 jtd 140ch 2005 153500km 5490	2005	153500	5490
Fiat Stilo 1.9l JTD 115CH&virgule	2002	166000	4800
Fiat stilo abarth	2003	117000	4900
Monospace fiat ulysse 2L2 --- 136cv	2005	160000	10500
Fiat stilo	2003	154700	5800
Fiat stilo	2003	154700	5800
Monospace fiat ulysse	2006	98000	12800
Monospace fiat ulysse	2006	98000	12800
Affaire a saisir fiat stylo	2004	130500	7500
FIAT Stylo	2003	140000	6000
Fiat stylo	2003	144000	4000
Ford C Max Ghia 2l TDCI 34000km	2006	34000	13500
Ford focus 2.0 tdci 133 cv	2003	129000	7490
Ford focus C MAX GHIA 2.0l 136cv	2004	100000	9300
Focus st 225ch 2007	2007	28000	17000
A saisir ford kuga occasion	2009	14900	22995
Ford Kuga Titanium 2.0 TDI 136cv 18 000 km 07/09	2009	18000	25790
Ford Kuga 4x4 Titanium 2.0 TDCI 136&virgule	2009	21950	25890
Ford Kuga Titanium 4x4 2.0 tdci 136 cv Ref:O9	2009	20715	25390
Ford Kuga Titanium 4x4 2.0 tdi Ref:39	2009	28100	25190
FORD KUGA TITANIUM NOIRE Ref:E1	2008	20900	23690
Ford mondeo 2.0 di 115 ch de2001	2001	116000	6500
Ford mondeo 2.0l di 115	2002	200000	2300
Ford Mondeo 2.0 l TDCI 130cv Ghia	2003	190000	6000
Ford Mondeo 2.0 l TDCI 130cv Ghia	2003	190000	6000
Mondeo Titanium 155 CV 2.2 L Diesel 9500	2005	125000	9500
Mondeo break TDCI 115 cv X-trend	2003	173000	5500
Mondeo break TDCI 115 cv X-trend	2003	173000	5500
FORD MONDEO 2 trend berline 157000km	2002	157000	4200
Ford Mondeo 2.0L TDDI 115CV Trend 2002	2002	113000	5200
Ford Mondeo Ghia X&virgule	2008	28000	19490
Ford Mondeo 2.0 TDCi Automatique 140cv 14752 km	2009	14752	24990
OUTLANDER 7 places 2.0 DID 140 INTENSE NEUF	2009	1	26550
FORD RANGER 4x4	2008	52000	22000
Ford S-Max 2.0 Tdci 130cv Titanium Bva 7 places	2008	36900	21900
Ford S-Max 2.0 Tdci 130cv Titanium Bva 7 places	2008	36900	21900
Opel Zafira Elegance 2.2L DTi 125cv 16V&virgule	2003	144500	7890
Honda accord 2.2 ctdi sport	2007	84000	15500
Belle honda accord 2.2 i vtec BVA	1996	230000	2800
Honda civic break 2.0 td 105 cv	1998	299800	2500
Honda civic break 2.0 td 105 cv	1998	299800	2500
Honda civic break 2.0 td 105 cv	1998	299800	2500
Honda Civic 2.2 icdti FAP Sport 140ch	2008	13500	16750
Honda Cr-v (2) 2.2 CTDI 140 CH EX	2005	115000	14600
Honda CRV 2.2 iCTDi 140cv	2005	106000	14000
Honda FRV 2.2 CTDI Confort Pack 1ere Main 55000 K	2006	55000	14900
Honda FRV 2.2 CTDI Confort Pack 1ere Main 55000 K	2006	55000	14900
Honda FRV 2.2 CTDI Confort Pack 1ere Main 55000 K	2006	55000	14900
Honda fr-v 2.2 ctdi executive 140cv 6 places + opt	2008	23000	26000
Hyundai elantra crdi	2004	190000	4500
Coupe Hyundai 2.0L FX 143cv	2002	144000	5900
Coupe Hyundai 2.0L FX 143cv	2002	144000	5900
MONOSPACE HYUNDAI - 2.5 TD 100CV - 162000km -Tinte	2000	162000	5100
Hyundai santa fe 2.0 crdi 125 ch	2005	125000	13500
Hyundai tucson 2.0 crdi 140 2wd	2008	55000	15000
HYUNDAI TUCSON 2.0 CRDI 4WD PACK LUXE 112ch	2005	90100	10500
Hyundai tucson 2.0l crdi 140cv 4*4 pack confort	2006	58000	13900
HYUNDAI TUCSON 2.0 CRDI 4WD PACK LUXE 112ch	2005	90100	10500
Hyundai tucson 2.0l crdi 140cv 4*4 pack confort	2006	58000	13900
Hyundai tucson 2.0 crdi	2005	104000	10000
Hyundai Tucson	2007	54000	15000
Jaguar x-type 2.0l D 130ch collection &virgule	2005	82000	16500
